Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply,Extraction Time
126,Grass,GRASS,$3.20,0.02%,6.81%,12.61%,"$780,617,383","$132,476,492","243,905,091 GRASS",2024-12-15 09:40:42
127,Axelar,AXL,$0.8858,0.29%,5.42%,13.31%,"$774,099,915","$19,378,428","873,919,765 AXL",2024-12-15 09:40:42
128,Goatseus Maximus,GOAT,$0.7638,1.46%,14.07%,1.64%,"$763,824,254","$303,456,499","999,996,557 GOAT",2024-12-15 09:40:42
129,Oasis,ROSE,$0.106,0.13%,6.17%,19.46%,"$748,752,780","$59,468,932","7,064,132,681 ROSE",2024-12-15 09:40:42
130,USDD,USDD,$0.9995,0.06%,0.10%,0.11%,"$743,666,071","$1,951,518","744,013,273 USDD",2024-12-15 09:40:42
131,Gnosis,GNO,$279.71,0.22%,4.07%,4.87%,"$724,324,697","$6,431,059","2,589,588 GNO",2024-12-15 09:40:42
132,Reserve Rights,RSR,$0.01357,1.92%,7.20%,24.54%,"$725,650,495","$59,006,638","53,473,336,211 RSR",2024-12-15 09:40:42
133,ORDI,ORDI,$34.34,0.25%,5.38%,28.60%,"$721,220,243","$169,410,947","21,000,000 ORDI",2024-12-15 09:40:42
134,Terra Classic,LUNC,$0.00013,1.76%,1.88%,19.21%,"$716,907,078","$67,018,358","5,513,395,980,657 LUNC",2024-12-15 09:40:42
135,Turbo,TURBO,$0.01098,0.96%,3.94%,0.73%,"$717,176,803","$179,360,726","65,300,000,000 TURBO",2024-12-15 09:40:42
136,LayerZero,ZRO,$6.24,0.28%,4.64%,6.26%,"$686,253,741","$116,772,573","110,000,000 ZRO",2024-12-15 09:40:42
137,Baby Doge Coin,BabyDoge,$0.084243,0.44%,9.95%,3.35%,"$684,290,044","$199,734,969","161,290,488,169,783,168 BabyDoge",2024-12-15 09:40:42
138,cat in a dogs world,MEW,$0.007699,1.50%,4.78%,20.84%,"$684,398,750","$59,763,476","88,888,888,888 MEW",2024-12-15 09:40:42
139,Neiro (First Neiro On Ethereum),NEIRO,$0.001593,1.82%,5.76%,16.38%,"$670,140,170","$228,323,376","420,682,679,987 NEIRO",2024-12-15 09:40:42
140,Tether Gold,XAUt,"$2,666.73",0.06%,0.22%,1.05%,"$657,414,059","$5,047,009","246,524 XAUt",2024-12-15 09:40:42
