Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply
SPX6900,SPX,$0.6789,0.38%,2.10%,9.83%,"$632,063,259","$37,748,148","930,993,090 SPX"
Kava,KAVA,$0.5835,0.38%,0.08%,18.74%,"$631,869,421","$26,757,972","1,082,853,872 KAVA"
Livepeer,LPT,$17.20,1.29%,1.06%,24.29%,"$627,863,182","$75,055,919","36,502,855 LPT"
Convex Finance,CVX,$6.37,0.43%,2.02%,12.34%,"$617,377,004","$87,921,391","96,888,197 CVX"
Kusama,KSM,$39.33,0.61%,1.01%,16.36%,"$623,005,858","$44,881,139","15,840,942 KSM"
APENFT,NFT,$0.065952,0.33%,3.06%,10.69%,"$595,165,996","$43,285,211","999,990,000,000,000 NFT"
Dash,DASH,$48.76,0.38%,1.05%,21.04%,"$588,278,228","$111,129,405","12,065,702 DASH"
Safe,SAFE,$1.27,0.54%,2.99%,21.50%,"$587,065,304","$42,837,160","463,757,969 SAFE"
Trust Wallet Token,TWT,$1.39,1.03%,3.59%,11.71%,"$580,828,153","$24,930,227","416,649,900 TWT"
Creditcoin,CTC,$1.41,0.05%,0.23%,16.86%,"$581,895,519","$69,828,940","412,084,779 CTC"
BOOK OF MEME,BOME,$0.008388,0.73%,0.92%,16.23%,"$578,403,931","$222,440,411","68,956,958,369 BOME"
Enjin Coin,ENJ,$0.3235,0.20%,0.41%,13.63%,"$576,258,835","$53,152,490","1,781,071,639 ENJ"
DeXe,DEXE,$10.07,0.49%,3.68%,10.36%,"$574,934,665","$3,839,828","57,103,740 DEXE"
Holo,HOT,$0.003276,0.10%,0.87%,17.28%,"$572,500,023","$22,816,003","174,747,454,215 HOT"
SushiSwap,SUSHI,$2.19,0.69%,1.04%,29.39%,"$574,973,450","$252,944,469","262,585,277 SUSHI"
Astar,ASTR,$0.07525,0.78%,0.31%,17.57%,"$559,010,363","$41,671,098","7,429,176,877 ASTR"
Magic Eden,ME,$4.23,0.66%,4.74%,62.59%,"$554,964,980","$726,152,743","131,246,201 ME"
ether.fi,ETHFI,$2.66,0.51%,2.86%,13.66%,"$556,156,404","$234,312,013","209,032,899 ETHFI"
0x Protocol,ZRX,$0.6532,0.08%,3.14%,11.94%,"$554,170,822","$146,651,208","848,396,563 ZRX"
Theta Fuel,TFUEL,$0.08057,0.10%,0.28%,12.01%,"$545,963,915","$8,676,752","6,776,167,021 TFUEL"
Zilliqa,ZIL,$0.02834,0.77%,0.68%,20.38%,"$546,111,508","$59,803,878","19,273,002,672 ZIL"
WOO,WOO,$0.2921,0.08%,1.45%,20.18%,"$543,701,995","$25,350,659","1,861,546,823 WOO"
Act I : The AI Prophecy,ACT,$0.5737,2.10%,4.78%,3.00%,"$543,972,098","$303,822,578","948,246,434 ACT"
PAX Gold,PAXG,"$2,658.56",0.01%,0.93%,0.86%,"$527,366,412","$14,647,089","198,365 PAXG"
io.net,IO,$4.20,0.04%,1.94%,16.33%,"$527,775,122","$277,116,764","125,631,683 IO"
GMT,GMT,$0.2015,0.54%,1.41%,18.85%,"$527,460,829","$53,562,266","2,618,282,353 GMT"
Jito,JTO,$3.93,0.31%,1.15%,9.29%,"$518,324,724","$108,429,999","131,857,502 JTO"
Echelon Prime,PRIME,$14.21,0.32%,5.15%,12.30%,"$508,314,084","$18,337,410","35,773,841 PRIME"
TrueUSD,TUSD,$1.00,0.02%,0.09%,0.73%,"$497,797,052","$55,472,570","495,601,553 TUSD"
Harmony,ONE,$0.03468,0.68%,2.05%,5.26%,"$496,518,424","$42,097,824","14,318,777,610 ONE"
SATS (Ordinals),SATS,$0.06234,1.45%,0.82%,22.51%,"$491,449,179","$82,878,062","2,100,000,000,000,000 SATS"
PayPal USD,PYUSD,$0.9993,0.01%,0.04%,0.06%,"$481,751,979","$10,365,742","482,083,020 PYUSD"
Celo,CELO,$0.8583,0.33%,1.21%,20.59%,"$477,833,888","$91,073,614","556,692,051 CELO"
OriginTrail,TRAC,$1.14,0.04%,0.28%,3.93%,"$473,669,283","$4,855,392","414,995,032 TRAC"
Ankr,ANKR,$0.04751,0.35%,0.24%,16.75%,"$475,147,610","$23,586,389","10,000,000,000 ANKR"
Dymension,DYM,$2.16,0.65%,4.22%,21.31%,"$472,048,603","$555,293,374","218,495,554 DYM"
EthereumPoW,ETHW,$4.34,1.08%,0.05%,14.40%,"$467,842,210","$24,971,831","107,818,999 ETHW"
dYdX (ethDYDX),ETHDYDX,$2.15,0.49%,3.62%,6.50%,"$465,472,166","$85,330,008","216,059,629 ETHDYDX"
WEMIX,WEMIX,$1.12,0.04%,8.62%,8.54%,"$463,266,980","$13,494,081","414,417,081 WEMIX"
Mask Network,MASK,$4.63,1.30%,11.83%,7.19%,"$463,183,327","$313,698,912","100,000,000 MASK"
Memecoin,MEME,$0.01404,0.97%,1.60%,17.95%,"$463,584,055","$118,050,987","33,015,549,507 MEME"
Arkham,ARKM,$2.05,0.51%,1.15%,20.15%,"$461,836,106","$89,755,353","225,100,000 ARKM"
IoTeX,IOTX,$0.04882,0.40%,0.99%,18.61%,"$460,958,061","$18,651,966","9,441,369,057 IOTX"
Aevo,AEVO,$0.5066,0.42%,0.61%,19.99%,"$456,072,327","$107,835,342","900,298,529 AEVO"
JUST,JST,$0.04521,0.11%,2.44%,10.91%,"$447,590,067","$54,741,076","9,900,000,000 JST"
Osmosis,OSMO,$0.6431,0.68%,1.91%,22.86%,"$449,608,032","$20,242,219","699,078,340 OSMO"
Qtum,QTUM,$4.15,0.08%,0.69%,13.80%,"$437,625,862","$54,966,629","105,437,805 QTUM"
Basic Attention Token,BAT,$0.2928,0.36%,0.50%,14.94%,"$437,859,041","$28,203,692","1,495,658,357 BAT"
Golem,GLM,$0.4352,0.24%,0.09%,17.52%,"$435,178,823","$12,571,842","1,000,000,000 GLM"
SPACE ID,ID,$0.5402,0.55%,1.43%,19.98%,"$430,017,569","$43,352,650","796,057,181 ID"
ZetaChain,ZETA,$0.7451,0.62%,0.95%,19.16%,"$429,263,646","$54,338,395","576,114,583 ZETA"
Manta Network,MANTA,$1.10,0.33%,0.25%,17.22%,"$424,085,141","$94,263,257","384,500,457 MANTA"
Aethir,ATH,$0.0809,0.21%,1.50%,1.73%,"$422,116,043","$58,206,041","5,217,818,110 ATH"
Kadena,KDA,$1.41,0.94%,1.93%,20.93%,"$420,201,928","$30,434,838","298,317,623 KDA"
Ravencoin,RVN,$0.02814,0.91%,0.88%,14.44%,"$410,907,781","$17,275,864","14,601,856,592 RVN"
Bitcoin Gold,BTG,$22.98,0.41%,9.31%,40.42%,"$402,433,636","$67,278,403","17,513,924 BTG"
Siacoin,SC,$0.006998,0.92%,1.74%,15.06%,"$404,083,753","$40,988,042","57,740,391,700 SC"
